Excitation Wavelength (nm),G_Factor
450,0.8760527385723412
451,0.8777038269550749
452,0.884779676258993
453,0.8825195800699884
454,0.8832811039639341
455,0.8970244586384173
456,0.882919239558516
457,0.8789431113507683
458,0.8835022017015092
459,0.8916095604211932
460,0.8804412760364809
461,0.883549052710561
462,0.8839748839748841
463,0.8849391955098223
464,0.8861806656101425
465,0.887334791583228
466,0.8870931026633282
467,0.8840248912808437
468,0.883990565829788
469,0.8894721622884086
470,0.8853031258445184
471,0.8846258750795529
472,0.8890105078809107
473,0.8873801769976635
474,0.8778753054022261
475,0.8875926625196254
476,0.8891936368623149
477,0.8836231282766943
478,0.8823497661029146
479,0.8841728672926081
480,0.9018983503153811
481,0.8858337178686789
482,0.8824321378655965
483,0.8836218572237681
484,0.8866591941762785
485,0.8889236621006764
486,0.8882109915449653
487,0.8808677851243558
488,0.8916031760602167
489,0.8835161662817553
490,0.8872760829443055
491,0.8872500179750814
492,0.8853465734631215
493,0.8826894120239451
494,0.881090094811568
495,0.8838957911122861
496,0.8819256941884446
497,0.8796970724990522
498,0.8821647825482286
499,0.8849689612905774
500,0.8869461573317048
501,0.8820821324254793
502,0.884282572894554
503,0.8844260171028766
504,0.8828538591712443
505,0.8825333958077323
506,0.8850155326271224
507,0.8828320022557823
508,0.8821490884061917
509,0.8806487833389731
510,0.8815602366584883
511,0.8827640244806335
512,0.8836052794279723
513,0.8840645791055511
514,0.8821930779210398
515,0.8813552283432801
516,0.8795834187917323
517,0.8861328899264415
518,0.8826271186440675
519,0.8836847616310105
520,0.8847825870200314
521,0.8832355304487569
522,0.8838433035373214
523,0.88021518511558
524,0.8827052123255456
525,0.88480613897124
526,0.8849113865400208
527,0.8831034081656394
528,0.8802573076400504
529,0.878742699192533
530,0.8799903681717218
531,0.8833281897428371
532,0.8830498527577788
533,0.8813754488599773
534,0.8849273656639781
535,0.884766413446365
536,0.8830750484486706
537,0.8793759249782155
538,0.8796990782577263
539,0.878644434252768
540,0.8806933630625933
541,0.8783353517990389
542,0.8787043493419331
543,0.8800900571984912
544,0.880082197826447
545,0.8754717564808512
546,0.8815198435766
547,0.875115876022732
548,0.8884809436956675
549,0.8787451150673035
550,0.8783573806881241
551,0.8768624828149966
552,0.8809236081139402
553,0.875670750227802
554,0.8885131054475179
555,0.8832545480590175
556,0.8662297285942357
557,0.8869257950530034
558,0.8757965612600697
559,0.8886933567971842
560,0.8861972812826765
561,0.8722970216238267
562,0.8617906066536207
563,0.8741384477075217
564,0.8777619387027799
565,0.88922942206655
566,0.8927835051546393
567,0.8888210140500916
568,0.8984881209503239
569,0.8851351351351353
570,0.8597194388777556
571,0.8915956151035321
572,0.8615384615384615
573,0.911304347826087
574,0.8667917448405257
575,0.8280254777070066
576,0.9081364829396325
577,0.8955696202531649
578,0.8461538461538463
579,0.9638554216867471
580,0.9317269076305219
581,1.2851063829787235
582,4.336585365853657
583,5.417533432392273
584,4.948497854077253
585,2.5969387755102034
586,1.0
587,0.9999999999999998
588,1.0961538461538463
589,0.1167076167076167
590,0.8508771929824561
591,0.956043956043956
592,0.9126213592233009
593,1.3253012048192774
594,0.9433962264150944
595,0.822429906542056
596,1.6666666666666663
597,1.111111111111111
598,0.930232558139535
599,1.2025316455696202
600,1.0235294117647058
